date,area_type,area_code,area_name,metric,metric_name,value
2020-03-01,nation,S92000003,Scotland,newAdmissions,New admissions,3.0
2020-03-02,nation,S92000003,Scotland,newAdmissions,New admissions,11.0
2020-03-02,nation,N92000002,Northern Ireland,newAdmissions,New admissions,1.0
2020-03-03,nation,N92000002,Northern Ireland,newAdmissions,New admissions,0.0
2020-03-03,nation,S92000003,Scotland,newAdmissions,New admissions,14.0
2020-03-04,nation,S92000003,Scotland,newAdmissions,New admissions,9.0
2020-03-04,nation,N92000002,Northern Ireland,newAdmissions,New admissions,0.0
2020-03-05,nation,S92000003,Scotland,newAdmissions,New admissions,18.0
2020-03-05,nation,N92000002,Northern Ireland,newAdmissions,New admissions,1.0
2020-03-06,nation,S92000003,Scotland,newAdmissions,New admissions,23.0
2020-03-06,nation,N92000002,Northern Ireland,newAdmissions,New admissions,3.0
2020-03-07,nation,N92000002,Northern Ireland,newAdmissions,New admissions,0.0
2020-03-07,nation,S92000003,Scotland,newAdmissions,New admissions,9.0
2020-03-08,nation,N92000002,Northern Ireland,newAdmissions,New admissions,0.0
2020-03-08,nation,S92000003,Scotland,newAdmissions,New admissions,10.0
2020-03-09,nation,S92000003,Scotland,newAdmissions,New admissions,19.0
2020-03-09,nation,N92000002,Northern Ireland,newAdmissions,New admissions,1.0
2020-03-10,nation,N92000002,Northern Ireland,newAdmissions,New admissions,2.0
2020-03-10,nation,S92000003,Scotland,newAdmissions,New admissions,29.0
2020-03-11,nation,S92000003,Scotland,newAdmissions,New admissions,27.0
2020-03-11,nation,N92000002,Northern Ireland,newAdmissions,New admissions,1.0
2020-03-12,nation,S92000003,Scotland,newAdmissions,New admissions,23.0
2020-03-12,nation,N92000002,Northern Ireland,newAdmissions,New admissions,0.0
2020-03-13,nation,S92000003,Scotland,newAdmissions,New admissions,24.0
2020-03-13,nation,N92000002,Northern Ireland,newAdmissions,New admissions,0.0
2020-03-14,nation,N92000002,Northern Ireland,newAdmissions,New admissions,0.0
2020-03-14,nation,S92000003,Scotland,newAdmissions,New admissions,21.0
2020-03-15,nation,N92000002,Northern Ireland,newAdmissions,New admissions,0.0
2020-03-15,nation,S92000003,Scotland,newAdmissions,New admissions,17.0
2020-03-16,nation,N92000002,Northern Ireland,newAdmissions,New admissions,1.0
2020-03-16,nation,S92000003,Scotland,newAdmissions,New admissions,30.0
2020-03-17,nation,S92000003,Scotland,newAdmissions,New admissions,42.0
2020-03-17,nation,E92000001,England,newAdmissions,New admissions,391.0
2020-03-17,nation,N92000002,Northern Ireland,newAdmissions,New admissions,0.0
2020-03-18,nation,E92000001,England,newAdmissions,New admissions,586.0
2020-03-18,nation,S92000003,Scotland,newAdmissions,New admissions,45.0
2020-03-18,nation,N92000002,Northern Ireland,newAdmissions,New admissions,0.0
2020-03-19,nation,S92000003,Scotland,newAdmissions,New admissions,44.0
2020-03-19,nation,E92000001,England,newAdmissions,New admissions,586.0
2020-03-19,nation,N92000002,Northern Ireland,newAdmissions,New admissions,0.0
2020-03-20,nation,S92000003,Scotland,newAdmissions,New admissions,72.0
2020-03-20,nation,E92000001,England,newAdmissions,New admissions,691.0
2020-03-20,nation,N92000002,Northern Ireland,newAdmissions,New admissions,0.0
2020-03-21,nation,E92000001,England,newAdmissions,New admissions,777.0
2020-03-21,nation,N92000002,Northern Ireland,newAdmissions,New admissions,0.0
2020-03-21,nation,S92000003,Scotland,newAdmissions,New admissions,64.0
2020-03-22,nation,S92000003,Scotland,newAdmissions,New admissions,53.0
2020-03-22,nation,N92000002,Northern Ireland,newAdmissions,New admissions,0.0
2020-03-22,nation,E92000001,England,newAdmissions,New admissions,859.0
2020-03-22,nation,W92000004,Wales,newAdmissions,New admissions,32.0
2020-03-23,nation,W92000004,Wales,newAdmissions,New admissions,32.0
2020-03-23,nation,N92000002,Northern Ireland,newAdmissions,New admissions,7.0
2020-03-23,nation,S92000003,Scotland,newAdmissions,New admissions,95.0
2020-03-23,nation,E92000001,England,newAdmissions,New admissions,1128.0
2020-03-24,nation,S92000003,Scotland,newAdmissions,New admissions,96.0
2020-03-24,nation,E92000001,England,newAdmissions,New admissions,1544.0
2020-03-24,nation,N92000002,Northern Ireland,newAdmissions,New admissions,3.0
2020-03-24,nation,W92000004,Wales,newAdmissions,New admissions,63.0
2020-03-25,nation,W92000004,Wales,newAdmissions,New admissions,178.0
2020-03-25,nation,S92000003,Scotland,newAdmissions,New admissions,125.0
2020-03-25,nation,E92000001,England,newAdmissions,New admissions,1755.0
2020-03-25,nation,N92000002,Northern Ireland,newAdmissions,New admissions,3.0
2020-03-26,nation,N92000002,Northern Ireland,newAdmissions,New admissions,5.0
2020-03-26,nation,S92000003,Scotland,newAdmissions,New admissions,157.0
2020-03-26,nation,E92000001,England,newAdmissions,New admissions,1639.0
2020-03-26,nation,W92000004,Wales,newAdmissions,New admissions,107.0
2020-03-27,nation,W92000004,Wales,newAdmissions,New admissions,118.0
2020-03-27,nation,E92000001,England,newAdmissions,New admissions,1931.0
2020-03-27,nation,N92000002,Northern Ireland,newAdmissions,New admissions,9.0
2020-03-27,nation,S92000003,Scotland,newAdmissions,New admissions,150.0
2020-03-28,nation,N92000002,Northern Ireland,newAdmissions,New admissions,11.0
2020-03-28,nation,E92000001,England,newAdmissions,New admissions,1873.0
2020-03-28,nation,S92000003,Scotland,newAdmissions,New admissions,160.0
2020-03-28,nation,W92000004,Wales,newAdmissions,New admissions,126.0
2020-03-29,nation,W92000004,Wales,newAdmissions,New admissions,133.0
2020-03-29,nation,E92000001,England,newAdmissions,New admissions,2186.0
2020-03-29,nation,N92000002,Northern Ireland,newAdmissions,New admissions,12.0
2020-03-29,nation,S92000003,Scotland,newAdmissions,New admissions,139.0
2020-03-30,nation,S92000003,Scotland,newAdmissions,New admissions,190.0
2020-03-30,nation,N92000002,Northern Ireland,newAdmissions,New admissions,10.0
2020-03-30,nation,E92000001,England,newAdmissions,New admissions,2817.0
2020-03-30,nation,W92000004,Wales,newAdmissions,New admissions,147.0
2020-03-31,nation,W92000004,Wales,newAdmissions,New admissions,158.0
2020-03-31,nation,N92000002,Northern Ireland,newAdmissions,New admissions,18.0
2020-03-31,nation,S92000003,Scotland,newAdmissions,New admissions,186.0
2020-03-31,nation,E92000001,England,newAdmissions,New admissions,2447.0
2020-04-01,nation,N92000002,Northern Ireland,newAdmissions,New admissions,17.0
2020-04-01,nation,S92000003,Scotland,newAdmissions,New admissions,214.0
2020-04-01,nation,E92000001,England,newAdmissions,New admissions,3099.0
2020-04-01,nation,W92000004,Wales,newAdmissions,New admissions,207.0
2020-04-02,nation,W92000004,Wales,newAdmissions,New admissions,139.0
2020-04-02,nation,S92000003,Scotland,newAdmissions,New admissions,169.0
2020-04-02,nation,E92000001,England,newAdmissions,New admissions,2932.0
2020-04-02,nation,N92000002,Northern Ireland,newAdmissions,New admissions,16.0
2020-04-03,nation,E92000001,England,newAdmissions,New admissions,2564.0
2020-04-03,nation,N92000002,Northern Ireland,newAdmissions,New admissions,17.0
2020-04-03,nation,S92000003,Scotland,newAdmissions,New admissions,214.0
2020-04-03,nation,W92000004,Wales,newAdmissions,New admissions,110.0
2020-04-04,nation,W92000004,Wales,newAdmissions,New admissions,134.0
2020-04-04,nation,E92000001,England,newAdmissions,New admissions,2593.0
2020-04-04,nation,N92000002,Northern Ireland,newAdmissions,New admissions,18.0
2020-04-04,nation,S92000003,Scotland,newAdmissions,New admissions,154.0
2020-04-05,nation,N92000002,Northern Ireland,newAdmissions,New admissions,8.0
2020-04-05,nation,E92000001,England,newAdmissions,New admissions,2592.0
2020-04-05,nation,S92000003,Scotland,newAdmissions,New admissions,158.0
2020-04-05,nation,W92000004,Wales,newAdmissions,New admissions,134.0
2020-04-06,nation,W92000004,Wales,newAdmissions,New admissions,123.0
2020-04-06,nation,E92000001,England,newAdmissions,New admissions,2679.0
2020-04-06,nation,S92000003,Scotland,newAdmissions,New admissions,203.0
2020-04-06,nation,N92000002,Northern Ireland,newAdmissions,New admissions,22.0
2020-04-07,nation,N92000002,Northern Ireland,newAdmissions,New admissions,30.0
2020-04-07,nation,S92000003,Scotland,newAdmissions,New admissions,171.0
2020-04-07,nation,E92000001,England,newAdmissions,New admissions,2744.0
2020-04-07,nation,W92000004,Wales,newAdmissions,New admissions,196.0
2020-04-08,nation,W92000004,Wales,newAdmissions,New admissions,158.0
2020-04-08,nation,N92000002,Northern Ireland,newAdmissions,New admissions,21.0
2020-04-08,nation,S92000003,Scotland,newAdmissions,New admissions,157.0
2020-04-08,nation,E92000001,England,newAdmissions,New admissions,2619.0
2020-04-09,nation,E92000001,England,newAdmissions,New admissions,2340.0
2020-04-09,nation,S92000003,Scotland,newAdmissions,New admissions,132.0
2020-04-09,nation,N92000002,Northern Ireland,newAdmissions,New admissions,25.0
